Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","233","Estonia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","256.77","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.65","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","748","Eswatini","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","2.35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","234","Faroe Islands","5610","Import Quantity","01344.02","Cherries","2022","2022","t","4.57","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","234","Faroe Islands","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.05","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","242","Fiji","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.42","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","572","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1.79","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","275.97","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","01344.02","Cherries","2022","2022","t","8278.77","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1540.64","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","173.88","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","145.77","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","10.71","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.93","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","498.77","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","292.28","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.25","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","9.14","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","01344.02","Cherries","2022","2022","t","37883.55","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","01344.02","Cherries","2022","2022","t","3797.32","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","14159.14","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","564.43","A","Official figure",""
"TCL","Crops and livestock products","288","Ghana","5610","Import Quantity","01344.02","Cherries","2022","2022","t","1.71","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.08","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","01344.02","Cherries","2022","2022","t","82.16","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","01344.02","Cherries","2022","2022","t","23657.68","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","1.5","A","Official figure",""
"TCL","Crops and livestock products","300","Greece","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","311.2","A","Official figure",""
"TCL","Crops and livestock products","308","Grenada","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2.43","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5610","Import Quantity","01344.02","Cherries","2022","2022","t","64.4","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1.56","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","11.8","A","Official figure",""
"TCL","Crops and livestock products","320","Guatemala","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","4.39","A","Official figure",""
"TCL","Crops and livestock products","324","Guinea","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.18","X","Figure from international organizations","Estimated data using trading partners database"
